Station ∆,Date,Ave. T. (ºC),Max. T. (ºC),Min. T. (ºC),Prec. (mm),S.L.Press./ Gheopot.,Wind dir,Wind sp. (Km/h),Cloud c.,Snow depth (cm),Insolat. (hours)
ABADAN,31/01/2024,18.2,24.6,11.9,0.0,1018.4 Hpa,337º(NW),12,0/8,-,-
ABADAN,30/01/2024,16.1,22.4,9.7,0.0,1018.6 Hpa,40º(NE),12,3/8,-,-
ABADAN,29/01/2024,14.4,19.8,9.0,0.0,1021.3 Hpa,13º(N),6,4/8,-,-
ABADAN,28/01/2024,16.1,20.5,11.6,0.0,1020.9 Hpa,283º(W),9,1/8,-,-
ABADAN,27/01/2024,17.0,20.6,13.4,0.0,1015.2 Hpa,280º(W),13,2/8,-,-
ABADAN,26/01/2024,16.9,21.1,12.6,5.1,1013.4 Hpa,21º(N),11,7/8,-,-
ABADAN,25/01/2024,18.8,24.0,13.6,0.0,1017.4 Hpa,343º(N),9,3/8,-,-
ABADAN,24/01/2024,20.6,25.4,15.9,0.0,1015.8 Hpa,326º(NW),9,5/8,-,-
ABADAN,23/01/2024,17.4,25.6,9.2,0.0,1016.0 Hpa,139º(SE),31,5/8,-,-
ABADAN,22/01/2024,16.6,24.7,8.6,0.0,1020.4 Hpa,159º(S),7,0/8,-,-
ABADAN,21/01/2024,16.2,23.6,8.8,0.0,1021.9 Hpa,290º(W),10,1/8,-,-
ABADAN,20/01/2024,15.9,23.8,8.0,0.0,1021.9 Hpa,307º(NW),11,2/8,-,-
ABADAN,19/01/2024,16.2,23.6,8.8,0.0,1020.2 Hpa,300º(NW),12,0/8,-,-
ABADAN,18/01/2024,15.3,22.4,8.3,0.0,1018.3 Hpa,292º(W),15,1/8,-,-
ABADAN,17/01/2024,15.6,22.4,8.7,0.0,1018.6 Hpa,297º(NW),18,0/8,-,-
ABADAN,16/01/2024,18.0,23.4,12.6,0.0,1020.7 Hpa,322º(NW),19,1/8,-,7.3
ABADAN,15/01/2024,18.6,23.8,13.4,0.0,1018.9 Hpa,312º(NW),13,3/8,-,-
ABADAN,14/01/2024,17.0,25.0,9.0,0.0,1014.3 Hpa,141º(SE),18,3/8,-,-
ABADAN,13/01/2024,17.1,24.6,9.7,0.0,1016.8 Hpa,148º(SE),8,1/8,-,-
ABADAN,12/01/2024,18.5,22.8,14.2,0.0,1014.5 Hpa,268º(W),10,1/8,-,-
ABADAN,11/01/2024,18.8,24.6,13.0,0.0,1014.5 Hpa,131º(SE),32,3/8,-,-
ABADAN,10/01/2024,14.0,22.9,5.1,0.0,1018.3 Hpa,135º(SE),22,1/8,-,-
ABADAN,09/01/2024,13.1,20.9,5.2,0.0,1022.1 Hpa,144º(SE),7,2/8,-,-
ABADAN,08/01/2024,14.2,22.0,6.5,0.0,1023.8 Hpa,321º(NW),6,1/8,-,-
ABADAN,07/01/2024,15.2,22.6,7.7,0.0,1022.2 Hpa,291º(W),13,0/8,-,-
ABADAN,06/01/2024,15.7,22.7,8.6,0.0,1021.4 Hpa,299º(NW),11,0/8,-,-
ABADAN,05/01/2024,15.5,22.6,8.4,0.0,1020.2 Hpa,290º(W),9,0/8,-,-
ABADAN,04/01/2024,16.1,22.4,9.7,0.0,1020.0 Hpa,296º(NW),13,0/8,-,-
ABADAN,03/01/2024,15.4,22.2,8.6,0.0,1019.0 Hpa,291º(W),15,1/8,-,-
ABADAN,02/01/2024,15.2,22.0,8.4,0.0,1020.0 Hpa,295º(NW),9,1/8,-,-
ABADAN,01/01/2024,15.5,17.6,13.4,3.2,1021.7 Hpa,307º(NW),9,4/8,-,-
ABADEH,31/01/2024,4.8,12.3,-2.7,0.0,1021.0 Hpa,314º(NW),10,0/8,-,-
ABADEH,30/01/2024,4.7,12.4,-3.0,0.0,1020.5 Hpa,334º(NW),11,2/8,-,-
ABADEH,29/01/2024,4.8,13.1,-3.5,0.0,1019.9 Hpa,290º(W),9,0/8,-,-
ABADEH,28/01/2024,6.4,10.7,2.1,0.0,1015.8 Hpa,269º(W),14,0/8,-,-
ABADEH,27/01/2024,8.2,12.3,4.0,0.0,1010.1 Hpa,200º(S),29,1/8,-,-
ABADEH,26/01/2024,8.4,11.0,5.8,6.2,1015.7 Hpa,209º(SW),8,5/8,-,-
ABADEH,25/01/2024,11.4,16.1,6.8,0.0,1013.8 Hpa,237º(SW),22,0/8,-,-
ABADEH,24/01/2024,6.8,14.4,-0.8,0.0,1012.3 Hpa,239º(SW),34,3/8,-,-
