Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,19/08/2004,21Z,32.2,31%,1000.3 Hpa,320º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,19/08/2004,18Z,33.0,30%,-,320º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADAN,19/08/2004,15Z,39.8,16%,999.5 Hpa,320º (NW),21.6,0/8,-,-,-,-,43.2,-,Clear
ABADAN,19/08/2004,12Z,42.2,18%,-,330º (NW),32.4,0/8,-,-,-,-,-,-,Clear
ABADAN,19/08/2004,09Z,39.8,21%,1001.7 Hpa,350º (N ),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,19/08/2004,06Z,33.2,29%,1002.5 Hpa,330º (NW),25.2,0/8,-,-,-,-,-,-,Clear
ABADAN,19/08/2004,03Z,28.8,35%,1001.8 Hpa,330º (NW),14.4,2/8,-,2/8 AC,-,-,-,28.8,Few clouds
ABADAN,19/08/2004,00Z,27.6,37%,999.4 Hpa,330º (NW),14.4,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
ABADEH,19/08/2004,21Z,22.4,29%,997.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,19/08/2004,18Z,28.0,14%,997.3 Hpa,060º (NE),25.2,0/8,-,-,-,-,-,-,Clear
ABADEH,19/08/2004,15Z,31.6,13%,998.6 Hpa,360º (N ),21.6,1/8,1/8 SC,-,-,-,34.0,-,Few clouds
ABADEH,19/08/2004,12Z,33.8,10%,998.0 Hpa,360º (N ),14.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
ABADEH,19/08/2004,09Z,32.0,16%,999.2 Hpa,330º (NW),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
ABADEH,19/08/2004,06Z,27.0,19%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,19/08/2004,03Z,16.0,32%,-,310º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,19/08/2004,00Z,17.4,31%,997.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,19/08/2004,15Z,34.2,69%,996.9 Hpa,060º (NE),10.8,0/8,-,-,-,-,36.4,-,"Clear, haze"
ABU MUSA,19/08/2004,12Z,36.2,207%,997.8 Hpa,040º (NE),18.0,0/8,-,-,-,-,-,-,Clear
ABU MUSA,19/08/2004,09Z,35.0,68%,999.7 Hpa,060º (NE),21.6,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,19/08/2004,06Z,34.0,74%,-,060º (NE),18.0,1/8,-,-,-,-,-,-,Few clouds
ABU MUSA,19/08/2004,03Z,31.6,84%,-,050º (NE),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,19/08/2004,21Z,21.2,61%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHAR,19/08/2004,18Z,,0%,-,110º (E ),18.0,5/8,-,-,-,-,-,-,Cloudy
AHAR,19/08/2004,15Z,27.8,39%,-,100º (E ),18.0,7/8,-,-,-,-,-,-,Cloudy
AHAR,19/08/2004,12Z,30.6,22%,-,100º (E ),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,19/08/2004,09Z,28.0,34%,-,130º (SE),21.6,0/8,-,-,-,-,-,-,Clear
AHAR,19/08/2004,06Z,10.2,,-,130º (SE),7.2,2/8,-,-,-,-,-,-,Few clouds
AHAR,19/08/2004,03Z,16.8,73%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHAR,19/08/2004,00Z,20.6,51%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,19/08/2004,21Z,32.4,34%,998.7 Hpa,300º (NW),21.6,1/8,-,-,-,-,-,-,Few clouds
AHWAZ,19/08/2004,18Z,36.0,29%,999.0 Hpa,280º (W ),18.0,0/8,-,-,-,-,-,-,Clear
AHWAZ,19/08/2004,15Z,41.2,22%,997.8 Hpa,280º (W ),21.6,0/8,-,-,-,-,44.6,-,Clear
AHWAZ,19/08/2004,12Z,43.2,22%,3016 m(700 Hpa),270º (W ),25.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,19/08/2004,09Z,40.2,22%,-,300º (NW),25.2,1/8,-,-,-,-,-,-,Few clouds
AHWAZ,19/08/2004,06Z,32.8,28%,-,290º (W ),10.8,2/8,-,-,-,-,-,-,Few clouds
AHWAZ,19/08/2004,03Z,28.6,40%,-,280º (W ),18.0,1/8,-,-,-,-,-,-,Few clouds
AHWAZ,19/08/2004,00Z,29.8,37%,998.1 Hpa,300º (NW),10.8,1/8,1/8 SC,-,-,-,-,-,Few clouds
ALI-GOODARZ,19/08/2004,21Z,22.4,23%,997.5 Hpa,110º (E ),18.0,2/8,2/8 SC,-,-,-,-,-,Few clouds
ALI-GOODARZ,19/08/2004,18Z,26.0,20%,997.8 Hpa,090º (E ),14.4,5/8,3/8 SC,AC,-,-,-,-,Cloudy
ALI-GOODARZ,19/08/2004,15Z,29.8,17%,996.9 Hpa,090º (E ),18.0,6/8,4/8 CB,AC,-,-,35.2,-,Cloudy
ALI-GOODARZ,19/08/2004,12Z,28.6,24%,998.2 Hpa,360º (N ),14.4,7/8,5/8 CB,AC,-,0.8(6h),-,-,"Cloudy, rain"
ALI-GOODARZ,19/08/2004,09Z,33.2,11%,996.4 Hpa,140º (SE),21.6,5/8,3/8 CB,AC,-,-,-,-,Cloudy
ALI-GOODARZ,19/08/2004,06Z,28.6,13%,-,120º (SE),32.4,5/8,-,-,-,-,-,-,Cloudy
ALI-GOODARZ,19/08/2004,03Z,25.2,16%,999.5 Hpa,110º (E ),25.2,5/8,2/8 SC,AC,-,-,-,24.0,Cloudy
ALI-GOODARZ,19/08/2004,00Z,19.4,30%,999.4 Hpa,150º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ANZALI,19/08/2004,21Z,28.2,90%,-,350º (N ),10.8,4/8,-,-,-,-,-,-,Scattered clouds
ANZALI,19/08/2004,18Z,28.2,86%,-,calm.,,7/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,15Z,29.0,87%,-,090º (E ),18.0,5/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,12Z,29.6,82%,-,080º (E ),14.4,6/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,09Z,29.0,84%,-,040º (NE),10.8,7/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,06Z,28.2,86%,-,330º (NW),10.8,7/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,03Z,26.6,,-,calm.,,7/8,-,-,-,-,-,-,Cloudy
ANZALI,19/08/2004,00Z,28.4,87%,-,070º (E ),7.2,7/8,-,-,-,-,-,-,Cloudy
ARAK,19/08/2004,21Z,25.2,19%,997.4 Hpa,270º (W ),7.2,1/8,1/8 SC,-,-,-,-,-,Few clouds
ARAK,19/08/2004,18Z,27.2,18%,998.6 Hpa,260º (W ),10.8,2/8,2/8 SC,-,-,-,-,-,Few clouds
ARAK,19/08/2004,15Z,32.0,12%,998.2 Hpa,090º (E ),14.4,5/8,3/8 CB,-,CI,-,36.6,-,Cloudy
ARAK,19/08/2004,12Z,34.0,16%,997.8 Hpa,290º (W ),10.8,6/8,6/8 CB,-,-,-,-,-,"Cloudy, haze"
ARAK,19/08/2004,09Z,35.0,10%,998.3 Hpa,090º (E ),10.8,4/8,3/8 CU,-,CI,-,-,-,Scattered clouds
