Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,-0.4,3.3,-4.1,12.0,-13.0,15.2,7,7,9,0,0,27,23%,13%,48%
FEBRUARY 2000,0.3,5.4,-4.8,12.4,-8.6,4.5,1,2,6,0,1,28,24%,24%,48%
MARCH 2000,3.9,9.2,-1.4,16.4,-6.8,20.0,3,3,3,0,2,20,21%,23%,70%
APRIL 2000,12.9,18.7,7.2,25.0,-2.1,7.3,2,4,0,4,0,1,20%,25%,66%
MAY 2000,16.5,23.0,10.0,29.2,5.2,0.8,0,2,0,3,0,0,32%,19%,77%
JUNE 2000,22.0,29.0,15.0,34.2,11.2,1.0,1,1,0,2,0,0,55%,38%,80%
JULY 2000,25.9,33.0,18.9,36.6,17.0,0.0,0,0,0,1,0,0,60%,32%,83%
AUGUST 2000,24.4,31.5,17.3,36.4,10.8,0.0,0,0,0,0,0,0,45%,44%,87%
SEPTEMBER 2000,19.6,26.5,12.7,30.2,9.2,0.5,0,1,0,2,0,0,27%,25%,80%
OCTOBER 2000,11.7,17.9,5.4,23.0,-10.4,21.8,5,7,0,2,1,1,31%,29%,80%
NOVEMBER 2000,4.6,10.3,-1.2,15.4,-14.0,43.0,6,8,1,2,1,10,28%,37%,70%
DECEMBER 2000,0.2,5.1,-4.7,10.2,-16.2,19.1,5,9,5,0,1,27,31%,44%,74%
JANUARY 2001,-2.5,3.9,-8.8,10.6,-19.6,12.0,4,6,6,0,1,30,23%,29%,64%
FEBRUARY 2001,2.0,7.4,-3.3,13.0,-21.9,17.6,3,5,3,0,1,23,32%,39%,60%
MARCH 2001,6.8,15.4,-1.7,23.0,-17.9,26.7,4,6,0,2,0,10,31%,39%,64%
APRIL 2001,12.2,18.2,6.1,25.0,3.0,17.4,4,5,0,1,0,0,25%,27%,60%
MAY 2001,17.7,23.7,11.6,29.4,6.6,6.3,2,4,0,3,0,0,11%,6%,58%
JUNE 2001,22.1,28.9,15.3,34.6,4.0,0.0,0,0,0,1,0,0,47%,35%,86%
JULY 2001,24.1,30.2,18.0,36.8,15.4,0.6,0,1,0,1,0,0,53%,39%,74%
AUGUST 2001,25.3,31.8,18.8,37.4,13.4,0.0,0,0,0,1,0,0,47%,31%,90%
SEPTEMBER 2001,20.3,27.5,13.2,30.8,9.0,0.1,0,1,0,2,0,0,30%,35%,90%
OCTOBER 2001,11.7,17.8,5.5,27.2,-2.7,6.0,1,1,0,1,0,2,29%,24%,87%
NOVEMBER 2001,5.0,10.2,-0.3,18.4,-15.3,25.8,4,7,2,1,0,16,20%,27%,63%
DECEMBER 2001,2.3,7.7,-3.0,11.4,-8.0,6.4,2,11,1,0,1,23,24%,26%,41%
JANUARY 2002,-3.0,2.5,-8.4,10.6,-19.6,27.5,4,5,6,0,0,30,35%,42%,64%
FEBRUARY 2002,2.1,7.3,-3.2,13.2,-9.3,11.2,4,4,0,0,0,24,48%,39%,67%
MARCH 2002,6.9,13.6,0.3,20.0,-16.5,54.6,9,11,0,1,0,11,45%,40%,64%
APRIL 2002,9.8,14.7,4.8,19.4,1.2,79.6,8,13,0,3,0,0,38%,32%,53%
MAY 2002,14.0,19.9,8.2,29.8,1.0,47.3,8,10,0,6,0,0,42%,39%,64%
JUNE 2002,20.9,27.7,14.1,34.6,10.4,0.0,0,0,0,0,0,0,48%,48%,93%
JULY 2002,24.0,30.6,17.5,34.0,9.2,0.1,0,1,0,2,0,0,52%,44%,83%
AUGUST 2002,23.0,30.2,15.8,34.4,12.6,0.0,0,0,0,0,0,0,65%,56%,93%
SEPTEMBER 2002,20.3,28.4,12.1,36.0,9.4,0.0,0,0,0,0,0,0,40%,35%,90%
OCTOBER 2002,15.4,21.8,9.1,28.6,4.0,2.0,1,1,0,1,0,0,31%,32%,77%
NOVEMBER 2002,8.1,13.7,2.5,27.1,-1.2,8.7,3,6,1,0,0,5,35%,42%,70%
DECEMBER 2002,-1.2,3.3,-5.7,22.0,-15.2,22.9,7,12,10,0,2,26,31%,35%,45%
JANUARY 2003,0.3,4.4,-3.7,13.0,-9.2,5.5,1,4,6,0,1,30,34%,35%,58%
FEBRUARY 2003,0.5,5.0,-4.0,10.0,-11.4,6.6,1,5,9,0,1,26,34%,36%,57%
MARCH 2003,4.2,8.4,0.0,15.2,-45.6,55.8,7,11,4,1,0,18,27%,27%,51%
APRIL 2003,9.6,13.3,5.9,24.6,-1.8,1004.5,7,9,1,3,0,2,8%,15%,50%
MAY 2003,16.7,22.8,10.6,26.0,3.2,2.1,1,6,0,9,0,0,19%,19%,64%
JUNE 2003,19.6,27.2,12.0,32.0,7.0,3.8,2,3,0,8,0,0,57%,35%,86%
JULY 2003,23.5,30.6,16.3,33.6,12.0,0.0,0,0,0,2,0,0,74%,47%,83%
AUGUST 2003,23.9,31.2,16.7,37.0,6.8,0.0,0,0,0,2,0,0,34%,26%,93%
SEPTEMBER 2003,18.9,27.0,10.7,33.4,8.0,0.0,0,0,0,0,0,0,33%,27%,93%
OCTOBER 2003,14.1,19.8,8.4,27.8,-0.2,14.4,4,7,1,0,0,1,10%,15%,54%
NOVEMBER 2003,5.8,10.9,0.6,17.0,-4.6,22.7,6,7,0,0,0,11,23%,30%,53%
DECEMBER 2003,1.4,5.6,-2.8,14.2,-8.6,20.8,5,9,5,0,1,21,83%,96%,61%
JANUARY 2004,1.3,6.0,-3.4,10.4,-9.4,6.0,2,2,5,0,2,30,100%,90%,74%
FEBRUARY 2004,2.1,8.2,-4.0,15.4,-9.2,17.2,4,7,5,0,0,27,100%,93%,75%
MARCH 2004,7.7,14.5,1.0,26.0,-5.6,10.0,2,2,3,0,0,13,93%,92%,80%
APRIL 2004,4.5,9.4,-0.5,24.4,-8.0,68.8,5,8,2,2,0,3,16%,13%,56%
MAY 2004,-,-,-,-,-,48.6,8,10,0,9,0,0,-,-,61%
JUNE 2004,20.4,27.8,13.1,31.4,8.6,3.1,1,2,0,4,0,0,73%,66%,83%
JULY 2004,22.1,29.4,14.8,34.0,10.0,0.0,0,0,0,5,0,0,93%,95%,80%
