Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,8.5,9.2,7.7,13.2,-2.8,0.0,0,0,0,0,0,2,6%,8%,6%
FEBRUARY 2000,9.8,11.9,7.6,20.8,1.2,0.0,0,0,0,0,0,0,14%,16%,10%
MARCH 2000,10.7,14.7,6.8,21.2,-0.8,0.0,0,0,0,0,0,2,13%,8%,19%
APRIL 2000,20.8,28.0,13.6,35.6,6.6,0.0,0,0,0,0,0,0,8%,8%,40%
MAY 2000,21.2,25.4,17.0,36.0,12.0,1.0,0,2,0,0,0,0,21%,21%,48%
JUNE 2000,24.4,28.9,19.8,34.2,14.6,0.4,0,1,0,1,1,0,22%,20%,40%
JULY 2000,29.4,34.5,24.3,37.4,22.8,2.2,1,2,0,3,0,0,27%,10%,58%
AUGUST 2000,28.9,33.5,24.3,40.2,21.2,42.0,4,4,0,1,0,0,24%,29%,58%
SEPTEMBER 2000,24.8,28.8,20.8,35.4,15.8,15.2,3,7,0,7,0,0,13%,12%,30%
OCTOBER 2000,19.0,23.2,14.8,29.8,8.2,25.0,5,5,0,1,0,0,21%,19%,48%
NOVEMBER 2000,12.3,16.8,7.8,22.6,1.6,4.3,2,2,0,0,0,0,27%,25%,66%
DECEMBER 2000,9.3,13.4,5.2,19.8,1.6,7.0,2,3,0,0,3,0,21%,19%,58%
JANUARY 2001,9.6,13.9,5.3,22.8,-3.2,4.0,2,2,3,0,2,7,16%,13%,51%
FEBRUARY 2001,10.0,15.7,4.3,25.0,0.0,18.4,2,4,0,0,0,1,32%,30%,57%
MARCH 2001,12.7,19.1,6.2,30.6,0.0,16.7,6,9,0,0,0,1,26%,18%,35%
APRIL 2001,17.8,24.1,11.5,34.4,6.6,8.0,3,3,0,0,1,0,22%,23%,33%
MAY 2001,29.8,25.7,34.0,34.0,15.4,11.2,2,3,0,0,0,0,8%,2%,0%
JUNE 2001,26.0,30.5,21.6,41.8,18.4,1.8,1,3,0,0,0,0,28%,15%,33%
JULY 2001,28.4,33.0,23.9,37.8,11.9,3.0,1,1,0,3,0,0,21%,10%,58%
AUGUST 2001,28.2,32.9,23.5,38.6,20.0,2.0,1,1,0,3,0,0,21%,16%,45%
SEPTEMBER 2001,26.5,30.9,22.0,34.2,15.4,15.0,3,3,0,3,0,0,25%,18%,36%
OCTOBER 2001,19.3,23.6,14.9,29.4,6.8,2.1,1,2,0,1,0,0,23%,15%,45%
NOVEMBER 2001,13.6,18.7,8.5,26.2,0.6,11.5,3,5,0,1,0,0,22%,17%,50%
DECEMBER 2001,11.6,17.4,5.9,23.6,-0.6,20.3,2,5,0,0,1,2,21%,15%,38%
JANUARY 2002,8.1,13.4,2.8,18.2,0.2,18.1,3,6,0,1,0,0,27%,16%,35%
FEBRUARY 2002,9.8,15.2,4.4,24.8,-0.4,14.0,6,6,0,0,1,1,29%,18%,50%
MARCH 2002,12.2,16.8,7.5,33.6,-1.2,21.1,6,8,0,0,3,2,21%,15%,25%
APRIL 2002,15.1,18.8,11.3,30.6,8.0,144.1,7,9,0,0,3,0,27%,13%,20%
MAY 2002,19.4,25.7,13.2,38.2,8.4,6.0,2,2,0,2,0,0,16%,8%,16%
JUNE 2002,26.7,32.5,20.9,37.2,16.4,0.5,0,3,0,0,0,0,15%,10%,16%
JULY 2002,29.0,33.5,24.5,38.0,21.2,1.4,1,2,0,5,0,0,18%,16%,64%
AUGUST 2002,28.7,32.6,24.8,40.0,20.4,24.6,5,9,0,1,0,0,27%,24%,45%
SEPTEMBER 2002,26.6,31.5,21.7,34.6,16.2,3.8,1,4,0,1,0,0,15%,17%,36%
OCTOBER 2002,23.1,24.8,21.3,52.2,10.6,2.2,1,2,0,0,0,0,3%,8%,6%
NOVEMBER 2002,15.9,17.5,14.3,27.8,-6.2,31.3,6,8,0,0,1,2,15%,3%,10%
DECEMBER 2002,5.6,12.9,-1.8,18.6,-7.8,21.4,4,6,1,0,1,12,8%,6%,16%
JANUARY 2003,8.3,16.2,0.4,25.2,-2.8,6.8,2,3,0,0,1,2,6%,8%,51%
FEBRUARY 2003,8.1,12.9,3.4,25.6,-2.4,20.0,4,9,0,0,2,4,14%,11%,32%
MARCH 2003,-,-,-,-,-,80.6,12,18,0,0,2,0,-,-,19%
APRIL 2003,10.3,10.2,10.4,33.8,5.0,29.5,9,14,0,1,1,0,2%,2%,33%
MAY 2003,-,23.1,-,36.4,-,44.6,5,6,0,0,0,0,3%,-,54%
JUNE 2003,-,28.2,-,31.8,-,41.3,3,4,0,4,0,0,2%,-,60%
JULY 2003,-,-,-,-,-,0.9,0,2,0,0,0,0,-,-,67%
AUGUST 2003,-,-,-,-,-,18.6,3,4,0,6,0,0,-,-,77%
SEPTEMBER 2003,-,-,22.4,-,16.0,2.4,1,3,0,1,0,0,-,2%,76%
OCTOBER 2003,-,-,-,-,-,46.1,1,2,0,3,0,0,-,-,77%
NOVEMBER 2003,-,-,-,-,-,100.2,7,8,0,3,1,0,-,-,56%
DECEMBER 2003,-,-,-,-,-,49.8,5,9,0,0,0,1,-,-,54%
JANUARY 2004,-,-,-,-,-,44.0,5,6,0,0,0,0,-,-,77%
FEBRUARY 2004,-,-,-,-,-,1.9,1,2,0,0,3,0,-,-,75%
MARCH 2004,-,-,-,-,-,9.9,3,8,0,0,3,0,-,-,48%
APRIL 2004,-,-,-,-,-,8.9,3,5,0,1,2,0,-,-,63%
MAY 2004,-,-,-,-,-,8.2,1,3,0,0,0,0,-,-,70%
JUNE 2004,26.9,31.2,22.6,37.6,17.8,0.0,0,0,0,1,0,0,27%,25%,86%
JULY 2004,26.9,30.9,22.9,34.8,19.0,0.0,0,0,0,0,0,0,37%,39%,58%
AUGUST 2004,28.9,33.6,24.1,37.2,11.7,0.0,0,0,0,1,0,0,45%,35%,87%
SEPTEMBER 2004,25.2,30.2,20.2,38.6,15.8,4.0,1,1,0,1,0,0,42%,42%,73%
OCTOBER 2004,19.2,25.4,12.9,36.4,7.8,0.0,0,0,0,0,0,0,39%,40%,54%
NOVEMBER 2004,15.6,19.6,11.5,27.6,0.3,6.0,1,1,0,0,0,0,20%,22%,43%
DECEMBER 2004,8.0,12.2,3.8,17.2,0.6,4.0,1,1,0,0,0,0,26%,21%,58%
JANUARY 2005,7.6,11.9,3.3,16.8,-0.4,33.5,4,6,1,0,1,2,31%,32%,58%
FEBRUARY 2005,3.7,11.7,-4.2,25.0,-7.0,6.0,2,2,1,0,0,6,27%,7%,0%
MARCH 2005,13.8,16.9,10.7,27.2,-0.2,0.6,0,2,0,1,0,1,40%,10%,0%
APRIL 2005,17.8,21.5,14.1,37.2,2.2,2.0,1,1,0,0,0,0,42%,8%,0%
MAY 2005,23.6,26.0,21.1,33.0,12.8,1.9,1,3,0,1,1,0,42%,3%,0%
