Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,28.1,30.6,25.5,41.4,-1.2,0.0,0,0,0,0,2,1,44%,24%,0%
2001,28.2,30.5,25.9,43.4,-26.4,0.7,0,3,0,0,0,2,45%,21%,1%
2002,28.6,31.5,25.6,55.0,12.0,4.1,1,2,1,0,2,0,45%,22%,0%
2003,28.9,29.8,28.0,42.0,-1.2,0.3,0,1,0,0,1,1,16%,17%,0%
2004,29.4,31.0,27.9,42.6,11.4,1.2,1,2,0,0,3,0,36%,21%,0%
2005,27.7,30.8,24.2,43.6,9.0,10.0,2,2,0,0,0,0,51%,16%,0%
2006,27.6,30.7,24.4,41.6,9.4,72.4,3,4,0,0,0,0,59%,22%,0%
2007,27.7,31.5,23.8,42.2,-1.4,2.4,1,2,0,3,2,1,94%,92%,32%
2008,27.0,30.8,23.3,40.8,8.8,80.3,7,9,1,2,11,0,94%,93%,74%
2009,27.5,31.1,23.9,42.4,9.8,176.4,18,23,0,10,0,0,82%,75%,57%
2010,28.1,32.1,24.2,41.8,11.6,7.4,4,6,0,2,1,0,84%,75%,59%
2011,27.6,31.6,23.5,43.4,11.8,110.8,11,20,0,5,2,0,99%,99%,96%
2012,27.5,31.9,23.1,44.2,9.2,98.6,8,16,0,10,1,0,99%,98%,92%
2013,27.2,31.5,22.9,41.4,10.2,81.3,8,13,0,7,0,0,99%,98%,94%
2014,27.1,31.5,22.8,42.0,11.2,109.5,12,19,0,8,2,0,98%,98%,90%
2015,27.9,32.4,23.4,45.2,11.4,92.4,8,11,0,3,1,0,98%,96%,92%
2016,27.7,31.9,23.4,43.0,12.0,78.8,5,8,0,2,4,0,98%,98%,96%
2017,27.6,32.0,23.1,43.4,5.2,245.1,19,29,0,12,12,0,99%,99%,98%
2018,27.8,32.5,23.1,46.6,11.3,40.7,4,8,0,10,6,0,99%,97%,96%
2019,27.5,32.0,23.1,45.1,11.6,284.3,24,31,0,27,0,0,99%,99%,98%
2020,27.5,32.0,23.0,41.5,4.2,126.8,8,15,0,9,1,0,100%,99%,96%
2021,28.1,32.6,23.5,43.0,9.3,31.8,2,4,0,3,5,0,97%,96%,96%
2022,27.9,32.3,23.5,42.6,10.4,122.5,12,14,0,5,3,0,97%,98%,96%
2023,27.8,32.0,23.5,42.7,10.0,122.5,8,9,0,3,2,0,99%,98%,97%
